**********************************
LOGGING TIME: 20180907_175932
CLIENT IP: 10.102.59.17
USERNAME: Baba_Bradpitt
OS: Windows 10
*********************Neutral database**********************************
MC, 1, 1537598300347
MM, 40, 25, 8
MM, 12, 25, 8
MM, 33, 25, 8
MM, 5, 25, 8
MM, 33, 25, 8
MM, 3, 25, 8
MM, 25, 25, 9
MM, 43, 25, 7
MM, 5, 25, 8
MM, 11, 25, 8
MM, 13, 25, 8
MM, 13, 24, 16
MM, 14, 24, 8
MM, 16, 24, 23
MM, 17, 23, 9
MM, 20, 22, 8
MM, 26, 22, 8
MM, 29, 21, 8
MM, 35, 21, 8
MM, 40, 18, 8
MM, 0, 14, 40
MM, 2, 12, 7
MM, 4, 12, 8
MM, 6, 10, 8
MM, 7, 9, 9
MM, 9, 8, 7
MM, 10, 1, 9
MM, 0, 25, 55
MM, 0, 27, 185
MM, 0, 30, 7
MM, 23, 0, 16
MM, 24, 4, 8
MM, 28, 9, 8
MM, 28, 10, 8
MM, 28, 11, 16
MM, 28, 12, 8
MM, 28, 14, 24
MC, 1, 192
MM, 28, 16, 55
MM, 27, 17, 10
MM, 18, 19, 8
MM, 15, 22, 7
MM, 9, 23, 8
MM, 0, 27, 8
MM, 0, 0, 49
MM, 41, 5, 8
MM, 35, 6, 8
MM, 28, 8, 8
MM, 23, 10, 8
MM, 21, 11, 8
MM, 19, 11, 8
MM, 17, 12, 8
MM, 17, 13, 32
MM, 16, 14, 15
MM, 15, 15, 9
MM, 14, 17, 8
MM, 13, 18, 9
MM, 11, 21, 7
MM, 9, 22, 8
MM, 6, 25, 8
MM, 2, 30, 8
MM, 185, 2, 23
MM, 181, 5, 10
MM, 181, 6, 7
MM, 180, 8, 7
MM, 179, 9, 8
MM, 179, 10, 8
MM, 179, 12, 10
MM, 178, 14, 7
MM, 178, 15, 7
MM, 174, 21, 8
MM, 174, 22, 8
MM, 174, 23, 9
MM, 173, 23, 7
MM, 172, 25, 8
MM, 170, 26, 32
MM, 169, 27, 26
MM, 166, 29, 8
MC, 1, 246
MM, 167, 28, 40
MM, 170, 26, 7
MM, 177, 22, 9
MM, 186, 17, 8
MM, 195, 13, 8
MM, 207, 7, 8
MM, 12, 20, 24
MM, 31, 10, 7
MM, 43, 3, 9
MM, 16, 28, 16
MM, 23, 20, 8
MM, 31, 13, 8
MM, 34, 10, 8
MM, 34, 8, 9
MM, 35, 6, 7
MM, 35, 2, 8
MM, 35, 1, 9
MM, 16, 31, 23
MM, 16, 30, 25
MM, 17, 28, 16
MM, 19, 26, 24
MM, 19, 25, 48
MM, 19, 22, 16
MM, 20, 20, 8
MM, 21, 19, 8
MM, 22, 16, 9
MM, 22, 15, 15
MM, 22, 12, 8
MM, 22, 11, 8
MM, 24, 9, 8
MM, 24, 8, 8
MM, 24, 6, 16
MM, 24, 5, 9
MM, 24, 3, 15
MC, 1, 199
MM, 24, 5, 120
MM, 24, 8, 8
MM, 22, 14, 15
MM, 16, 20, 10
MM, 14, 22, 8
MM, 8, 26, 7
MM, 1, 29, 9
MM, 41, 1, 25
MM, 32, 4, 7
MM, 22, 5, 9
MM, 8, 9, 8
MM, 26, 10, 15
MM, 6, 12, 8
MM, 32, 17, 8
MM, 11, 19, 8
MM, 33, 19, 8
MM, 5, 19, 8
MM, 35, 19, 8
MM, 13, 19, 8
MM, 31, 19, 15
MM, 19, 19, 10
MM, 9, 20, 6
MM, 42, 20, 17
MM, 38, 20, 8
MM, 33, 20, 8
MM, 32, 20, 8
MM, 30, 20, 8
MM, 28, 20, 7
MM, 27, 20, 32
MM, 25, 20, 17
MM, 23, 20, 7
MM, 19, 20, 8
MM, 14, 20, 8
MM, 8, 19, 9
MM, 4, 18, 8
MM, 43, 17, 23
MM, 40, 17, 9
MM, 39, 17, 7
MM, 36, 17, 9
MM, 34, 17, 15
MM, 31, 17, 7
MM, 26, 17, 9
MM, 24, 17, 8
MM, 20, 17, 8
MM, 18, 17, 8
MM, 15, 17, 9
MM, 13, 17, 7
MM, 9, 17, 8
MM, 8, 17, 24
MC, 1, 176
MM, 10, 16, 16
MM, 17, 16, 8
MM, 29, 16, 8
MM, 13, 12, 16
MM, 33, 12, 9
MM, 7, 12, 8
MM, 40, 12, 7
MM, 12, 12, 8
MM, 32, 12, 9
MM, 2, 12, 7
MM, 20, 12, 8
MM, 38, 12, 8
MM, 0, 12, 9
MM, 14, 12, 7
MM, 28, 12, 8
MM, 42, 12, 8
MM, 6, 12, 9
MM, 26, 12, 7
MM, 42, 12, 8
MM, 6, 12, 8
MM, 22, 12, 8
MM, 32, 12, 8
MM, 40, 12, 9
MM, 3, 10, 200
MM, 8, 12, 8
MM, 11, 13, 8
MM, 14, 13, 8
MM, 15, 13, 8
MM, 18, 14, 8
MM, 19, 14, 8
MM, 20, 15, 8
MM, 22, 15, 8
MM, 23, 15, 24
MM, 24, 18, 143
MM, 19, 19, 9
MM, 11, 19, 8
MM, 37, 19, 16
MM, 17, 19, 7
MM, 31, 19, 16
MM, 13, 19, 9
MM, 31, 19, 15
MM, 17, 19, 8
MM, 3, 19, 9
MM, 46, 19, 8
MM, 32, 19, 7
MM, 18, 19, 8
MM, 2, 23, 8
MM, 36, 23, 8
MM, 20, 23, 8
MM, 2, 23, 8
MM, 38, 23, 8
MM, 28, 23, 8
MM, 18, 23, 8
MM, 10, 23, 8
MM, 4, 23, 8
MM, 43, 24, 32
MM, 41, 25, 9
MM, 37, 25, 7
MM, 32, 25, 8
MM, 28, 25, 9
MM, 22, 25, 8
MM, 19, 25, 7
MM, 17, 25, 8
MM, 15, 25, 9
MM, 12, 25, 8
MM, 9, 25, 7
MM, 5, 25, 8
MM, 3, 25, 8
MM, 2, 25, 8
MM, 1, 25, 8
MM, 40, 25, 105
MM, 36, 23, 8
MM, 34, 23, 8
MM, 31, 22, 8
MC, 1, 183
MM, 39, 23, 113
